Attribute names:	P0	P1	P2	P3	P4	P5
Minor allele frequencies:	0.500	0.500	0.500	0.500	0.500	0.500
x: 0.00000404
y: 1.81498114
Prevalence: 0.00937223
Heritability: 0.10000000

Table:

0.00000404, 0.00001137, 0.00003201
0.00001137, 0.00003201, 0.00009010
0.00003201, 0.00009010, 0.00025363

0.00001137, 0.00003201, 0.00009010
0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

0.00001137, 0.00003201, 0.00009010
0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747

0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747
0.00200977, 0.00565747, 0.01592568

0.00001137, 0.00003201, 0.00009010
0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747

0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747
0.00200977, 0.00565747, 0.01592568

0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747

0.00025363, 0.00071396, 0.00200977
0.00071396, 0.00200977, 0.00565747
0.00200977, 0.00565747, 0.01592568

0.00071396, 0.00200977, 0.00565747
0.00200977, 0.00565747, 0.01592568
0.00565747, 0.01592568, 0.04483049

0.00003201, 0.00009010, 0.00025363
0.00009010, 0.00025363, 0.00071396
0.00025363, 0.00071396, 0.00200977

